Query,Document
1089273,output_590.txt
1089273,output_58.txt
1089273,output_911.txt
1089273,output_1256.txt
1089273,output_930.txt
1089273,output_986.txt
1089273,output_965.txt
1089273,output_483.txt
1089273,output_352.txt
1089273,output_597.txt
1087869,output_1478.txt
1087869,output_1174.txt
1087869,output_545.txt
1087869,output_373.txt
1087869,output_1541.txt
1087869,output_699.txt
1087869,output_1122.txt
1087869,output_1350.txt
1087869,output_1175.txt
1087869,output_1392.txt
1087858,output_547.txt
1087858,output_707.txt
1087858,output_565.txt
1087858,output_461.txt
1087858,output_69.txt
1087858,output_817.txt
1087858,output_1221.txt
1087858,output_1217.txt
1087858,output_975.txt
1087858,output_1190.txt
1087532,output_595.txt
1087532,output_387.txt
1087532,output_332.txt
1087532,output_1439.txt
1087532,output_675.txt
1087532,output_373.txt
1087532,output_407.txt
1087532,output_603.txt
1087532,output_1110.txt
1087532,output_738.txt
1086886,output_407.txt
1086886,output_466.txt
1086886,output_595.txt
1086886,output_558.txt
1086886,output_593.txt
1086886,output_736.txt
1086886,output_1248.txt
1086886,output_503.txt
1086886,output_127.txt
1086886,output_111.txt
1100937,output_1484.txt
1100937,output_145.txt
1100937,output_514.txt
1100937,output_1407.txt
1100937,output_1141.txt
1100937,output_271.txt
1100937,output_806.txt
1100937,output_925.txt
1100937,output_201.txt
1100937,output_883.txt
1100930,output_279.txt
1100930,output_1344.txt
1100930,output_1478.txt
1100930,output_1349.txt
1100930,output_1243.txt
1100930,output_625.txt
1100930,output_1373.txt
1100930,output_1320.txt
1100930,output_379.txt
1100930,output_250.txt
1086281,output_815.txt
1086281,output_79.txt
1086281,output_214.txt
1086281,output_1194.txt
1086281,output_1167.txt
1086281,output_589.txt
1086281,output_994.txt
1086281,output_853.txt
1086281,output_455.txt
1086281,output_684.txt
1085013,output_1439.txt
1085013,output_1288.txt
1085013,output_567.txt
1085013,output_891.txt
1085013,output_1410.txt
1085013,output_1009.txt
1085013,output_763.txt
1085013,output_997.txt
1085013,output_313.txt
1085013,output_1283.txt
1085008,output_1516.txt
